canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
CN(C)c1nc2c(c(N3CCc4ccccc4C3)n1)CCNC2,CHEMBL3479089,IC50,nM,28796.08,CHEMBL4662927,pIC50,,4.54066664043524,Histidine--tRNA ligase,Leishmania infantum
CN(C)c1nc2c(c(N3CCc4ccccc4C3)n1)CCNC2,CHEMBL3479089,IC50,nM,22818.44,CHEMBL4662927,pIC50,,4.6417141353848,Histidine--tRNA ligase,Leishmania infantum
Cc1cccnc1[C@H](C)Nc1nc(-c2cccnc2)nc2c1CNC2,CHEMBL3477295,IC50,nM,36389.15,CHEMBL4662927,pIC50,,4.43902810552218,Histidine--tRNA ligase,Leishmania infantum
Cc1cccnc1[C@H](C)Nc1nc(-c2cccnc2)nc2c1CNC2,CHEMBL3477295,IC50,nM,22419.29,CHEMBL4662927,pIC50,,4.64937815500864,Histidine--tRNA ligase,Leishmania infantum
CN1CCN(c2cccc(NC(=O)NCc3csc(N(C)C)n3)c2)C1=O,CHEMBL3478246,IC50,nM,38948.25,CHEMBL4662927,pIC50,,4.40951204381008,Histidine--tRNA ligase,Leishmania infantum
CN1CCN(c2cccc(NC(=O)NCc3csc(N(C)C)n3)c2)C1=O,CHEMBL3478246,IC50,nM,48497.34,CHEMBL4662927,pIC50,,4.31428208398617,Histidine--tRNA ligase,Leishmania infantum
Cc1nc(CCN)cc(N2CCC(O)(c3ccc(Cl)cc3)CC2)n1,CHEMBL3478286,IC50,nM,46390.35,CHEMBL4662927,pIC50,,4.33357234341282,Histidine--tRNA ligase,Leishmania infantum
Cc1nc(CCN)cc(N2CCC(O)(c3ccc(Cl)cc3)CC2)n1,CHEMBL3478286,IC50,nM,42797.95,CHEMBL4662927,pIC50,,4.36857701410284,Histidine--tRNA ligase,Leishmania infantum
CC(C)c1nnc(N2C[C@@H]3CC[C@H](C2)N(Cc2ccccc2)C3)s1,CHEMBL3473526,IC50,nM,35495.13,CHEMBL4662927,pIC50,,4.44983128807692,Histidine--tRNA ligase,Leishmania infantum
CC(C)c1nnc(N2C[C@@H]3CC[C@H](C2)N(Cc2ccccc2)C3)s1,CHEMBL3473526,IC50,nM,34473.71,CHEMBL4662927,pIC50,,4.46251193228527,Histidine--tRNA ligase,Leishmania infantum
COc1ccc(CCN)cc1-c1ccc(C(N)=O)cc1,CHEMBL3475423,IC50,nM,48822.58,CHEMBL4662927,pIC50,,4.31137928587891,Histidine--tRNA ligase,Leishmania infantum
COc1ccc(CCN)cc1-c1ccc(C(N)=O)cc1,CHEMBL3475423,IC50,nM,27971.1,CHEMBL4662927,pIC50,,4.55329049579757,Histidine--tRNA ligase,Leishmania infantum
CC(Nc1nc(-c2ccncc2)nc2c1CCNC2)c1ccccc1,CHEMBL3478342,IC50,nM,43433.06,CHEMBL4662927,pIC50,,4.36217959816397,Histidine--tRNA ligase,Leishmania infantum
CC(Nc1nc(-c2ccncc2)nc2c1CCNC2)c1ccccc1,CHEMBL3478342,IC50,nM,46811.77,CHEMBL4662927,pIC50,,4.32964490477706,Histidine--tRNA ligase,Leishmania infantum
CNc1cc(-c2ccccc2CN)c2cc[nH]c2n1,CHEMBL3477402,IC50,nM,10610.1,CHEMBL4662927,pIC50,,4.97428047669832,Histidine--tRNA ligase,Leishmania infantum
CNc1cc(-c2ccccc2CN)c2cc[nH]c2n1,CHEMBL3477402,IC50,nM,10062.34,CHEMBL4662927,pIC50,,4.99730081862481,Histidine--tRNA ligase,Leishmania infantum
CC(C)[C@H](NS(C)(=O)=O)C(=O)NCc1cc(-c2ccco2)n[nH]1,CHEMBL3472093,IC50,nM,87895.27,CHEMBL4662927,pIC50,,4.05603449479086,Histidine--tRNA ligase,Leishmania infantum
CC(C)[C@H](NS(C)(=O)=O)C(=O)NCc1cc(-c2ccco2)n[nH]1,CHEMBL3472093,IC50,nM,82020.31,CHEMBL4662927,pIC50,,4.08607861280803,Histidine--tRNA ligase,Leishmania infantum
CN1C(=O)[C@H]2CC[C@@H]1CN(C(=O)Nc1cccc3ccccc13)C2,CHEMBL3472695,IC50,nM,55325.57,CHEMBL4662927,pIC50,,4.2570741208908,Histidine--tRNA ligase,Leishmania infantum
CN1C(=O)[C@H]2CC[C@@H]1CN(C(=O)Nc1cccc3ccccc13)C2,CHEMBL3472695,IC50,nM,43260.99,CHEMBL4662927,pIC50,,4.36390353697287,Histidine--tRNA ligase,Leishmania infantum
O=C(CCc1n[nH]c2c1CCCC2)N1C[C@@H]2CC[C@H](C1)N(CC1CC1)C2,CHEMBL3472730,IC50,nM,44889.33,CHEMBL4662927,pIC50,,4.34785690288777,Histidine--tRNA ligase,Leishmania infantum
O=C(CCc1n[nH]c2c1CCCC2)N1C[C@@H]2CC[C@H](C1)N(CC1CC1)C2,CHEMBL3472730,IC50,nM,35828.16,CHEMBL4662927,pIC50,,4.44577555094866,Histidine--tRNA ligase,Leishmania infantum
NCC1Cc2cc(-c3nccc(N4CCC(O)CC4)n3)cc(Cl)c2O1,CHEMBL3474616,IC50,nM,20887.91,CHEMBL4662927,pIC50,,4.68010492852974,Histidine--tRNA ligase,Leishmania infantum
NCC1Cc2cc(-c3nccc(N4CCC(O)CC4)n3)cc(Cl)c2O1,CHEMBL3474616,IC50,nM,21036.14,CHEMBL4662927,pIC50,,4.67703394590669,Histidine--tRNA ligase,Leishmania infantum
c1ccc(Oc2ccc(OC34CCCN(CC3)C4)cc2)cc1,CHEMBL3476509,IC50,nM,39377.72,CHEMBL4662927,pIC50,,4.40474942424026,Histidine--tRNA ligase,Leishmania infantum
c1ccc(Oc2ccc(OC34CCCN(CC3)C4)cc2)cc1,CHEMBL3476509,IC50,nM,40612.51,CHEMBL4662927,pIC50,,4.39134012192851,Histidine--tRNA ligase,Leishmania infantum
Cn1ccc2c(-c3cc(N4CCCCC4)ncn3)ccnc21,CHEMBL3472735,IC50,nM,54333.14,CHEMBL4662927,pIC50,,4.26493516292939,Histidine--tRNA ligase,Leishmania infantum
Cn1ccc2c(-c3cc(N4CCCCC4)ncn3)ccnc21,CHEMBL3472735,IC50,nM,45693.57,CHEMBL4662927,pIC50,,4.34014490499641,Histidine--tRNA ligase,Leishmania infantum
CC(=O)Nc1ccc2nc(-c3nccn3C[C@@H]3CCCO3)ccc2c1,CHEMBL3473712,IC50,nM,85398.63,CHEMBL4662927,pIC50,,4.0685490785336,Histidine--tRNA ligase,Leishmania infantum
CCN(Cc1ccc2cccc(O)c2n1)CC1CCCO1,CHEMBL3474665,IC50,nM,18555.56,CHEMBL4662927,pIC50,,4.73152602565469,Histidine--tRNA ligase,Leishmania infantum
CCN(Cc1ccc2cccc(O)c2n1)CC1CCCO1,CHEMBL3474665,IC50,nM,12281.93,CHEMBL4662927,pIC50,,4.91073347181475,Histidine--tRNA ligase,Leishmania infantum
